commentRate,productRate,starRate,stt,timeRate,userRate
"Tiki \u01a1i, m\u00ecnh nh\u1eadn n\u1ed3i h\u00f4m nay, nh\u01b0ng gi\u1edd m\u00ecnh m\u1edf ra th\u1ea5y l\u00f2ng n\u1ed3i kh\u00f4ng ngay gi\u1eefa, nh\u01b0 v\u1eady s\u1ebd \u1ea3nh h\u01b0\u1edfng ch\u1ea5t l\u01b0\u1ee3ng \u0111\u1ed9 n\u00f3ng khi chi\u00ean th\u1ef1c ph\u1ea9m, v\u1edbi tay c\u1ea7m r\u1ea5t l\u1ecfng, nh\u1edd tiki \u0111\u1ed5i l\u1ea1i c\u00e1i kh\u00e1c gi\u00fap m\u00ecnh, mu\u1ed1n d\u00f9ng li\u1ec1n m\u1edbi \u0111\u1eb7t tiki now, gi\u1edd ko x\u00e0i \u0111\u01b0\u1ee3c li\u1ec1n bu\u1ed3n gh\u00ea lu\u00f4n \ud83d\ude22",71159586,3,0,1607084291,Hu\u1ef3nh Th\u1ee7y
"\u1ea4n t\u01b0\u1ee3ng \u0111\u1ea7u ti\u00ean l\u00e0 n\u1ed3i to v\u1eadt v\u00e3. n\u1ebfu nh\u00e0 \u00edt ng\u01b0iif th\u00ec e khuy\u00ean n\u00ean d\u00f9ng lo\u1ea1i 5l tr\u1edf l\u1ea1i th\u00f4i. v\u00ec lo\u1ea1i to n\u00e0y b\u1ecf v\u00f4 b\u1ebfp tr\u00f4ng h\u01a1i th\u00f4. nhhng b\u00f9 l\u1ea1i th\u00f9 ch\u1ea5t l\u01b0\u1ee3ng qu\u00e1 ok. em l\u00e0m th\u1eed th\u1ecbt quay gi\u00f2n b\u00ec h\u01a1i b\u1ecb ok lu\u00f4n. nh\u01b0ng m\u00e0 c\u00f3 1 th\u1eafc m\u1eafc, l\u00fac mua sale th\u1ea5y dc t\u1eb7ng k\u00e8m c\u00e1i b\u00ecnh gi\u1eef nhi\u1ec7t. nh\u01b0ng khi nh\u1eadn h\u00e0ng l\u1ea1i k c\u00f3, cho e 1 l\u1eddi gi\u1ea3i th\u00edch \u0111i \u1ea1???",71159586,5,1,1605452603,T\u01b0\u1eddng Vy
"N\u1ed3i v\u1eeba mua \u0111\u00e3 h\u1ecfng m\u1eb7t c\u1ea3m \u1ee9ng, g\u1ecdi b\u00e1o r\u1ed3i g\u1eedi tiki clip ch\u1ee9ng minh, tiki b\u00e1o trong 2 ho\u1eb7c 3 ng\u00e0y l\u00e0m vi\u1ec7c s\u1ebd sang thu l\u1ea1i n\u1ed3i, nay \u0111\u00e3 sang ng\u00e0y th\u1ee9 4 r\u1ed3i, c\u00f3 mu\u1ed1n b\u1ea3o h\u00e0nh hay kh\u00f4ng n\u00f3i 1 ti\u1ebfng ch\u1ee9 t\u00ednh \u0111\u1ec3 kh\u00e1ch \u0111\u1ee3i t\u1edbi khi n\u00e0o v\u1eady? kh\u00f4ng l\u1ebd ng\u00e0y n\u00e0o t\u00f4i c\u0169ng ph\u1ea3i g\u1ecdi l\u00ean n\u1eb7ng nh\u1eb9 v\u1edbi b\u1ea1n tele v\u1eady \u00e0?",71159586,1,2,1607584956,Tridat Tran
"\u0110\u00f3ng g\u00f3i c\u1ea9n th\u1eadn, giao nhanh nh\u01b0ng sp c\u00f3 d\u1ea5u hi\u1ec7u \u0111\u00e3 qua s\u1eed d\u1ee5ng nh\u01b0: nylon b\u1ecdc ph\u1ea7n tr\u00ean \u0111\u00e3 b\u1ecb g\u1ee1 v\u00e0 b\u00ean trong c\u00f3 d\u1ea5u tay d\u1ea7u nh\u1edbt d\u00ednh v\u00e0o sp, n\u1ed3i s\u1eed d\u1ee5ng b\u00ecnh th\u01b0\u1eddng, t\u1ea1m th\u1eddi ch\u01b0a c\u00f3 b\u1ea5t th\u01b0\u1eddng",71159586,3,3,1606716098,Lina Nguyen
"\u0110\u00f3ng g\u00f3i sp c\u1ea9n th\u1eadn, giao h\u00e0ng nhanh. N\u1ed3i \u0111\u1eb9p, dung t\u00edch l\u1edbn, ph\u00f9 h\u1ee3p g\u0111 \u0111\u00f4ng ng\u01b0\u1eddi ho\u1eb7c c\u00f3 ti\u1ec7c t\u00f9ng. N\u1ebfu g\u0111 ch\u1ec9 t\u1ea7m 4 ng\u01b0\u1eddi \u0111\u1ed5 l\u1ea1i th\u00ec sd h\u01a1i l\u00e3ng ph\u00ed v\u00ec qu\u00e1 l\u1edbn nh\u00e9. Nh\u00ecn chung r\u1ea5t h\u00e0i l\u00f2ng.",71159586,5,4,1605691184,H\u00c0 TH\u1eca THANH TH\u1ee6Y
"C\u00e1i n\u1ed3i rat to c\u00f3 th\u1ec3 n\u01b0\u1edbng nguy\u00ean con g\u00e0, mua \u0111c gi\u00e1 sale c\u00f2n \u0111c km th\u00eam 1 x\u1eedng n\u01b0\u1edbng. R\u1ea5t h\u00e0i l\u00f2ng v\u1ec1 ch\u1ea5t l\u01b0\u1ee3ng sp. Tiki giao h\u00e0ng nhanh, \u0111\u00f3ng g\u00f3i c\u1ea9n th\u1eadn",71159586,5,5,1607065907,Ngoc Nguyen
"N\u1ed3i \u0111\u1eb9p, to cho c\u1ea3 nh\u00e0. C\u00f3 \u0111i\u1ec1u tiki gi\u1ea3i th\u00edch gi\u00fap sao c\u00e1i r\u1ecd s\u1eaft n\u00f3 kh\u00f4ng n\u1eb1m gi\u1eefa l\u1ed3ng m\u00e0 b\u1ecb l\u1ec7ch.",71159586,4,6,1605269312,\u0110\u1eb7ng Th\u1ecb Minh Hi\u1ebfu
"S\u1ea3n ph\u1ea9m \u0111\u1eb9p, m\u1edbi. Giao h\u00e0ng nhanh g\u1ecdn. Ho\u1ea1t \u0111\u1ed9ng c\u00f4ng su\u1ea5t l\u1edbn c\u00f3 h\u01a1i \u1ed3n. \u0110\u1ed9 b\u1ec1n c\u00f2n ch\u1edd th\u1eddi gian s\u1eed d\u1ee5ng xem th\u1ebf n\u00e0o. T\u1ed5ng th\u1ec3 ok, ph\u00f9 h\u1ee3p v\u1edbi gi\u00e1 ti\u1ec1n khi mua sale",71159586,5,7,1607704262,H\u1ea1nh L\u00ea
\u0110\u1eb7t h\u00e0ng t\u1eeb h\u00f4m 11\/11 h\u00f4m nay m\u1edbi nh\u1eadn \u0111\u01b0\u1ee3c h\u00e0ng.N\u1ed3i to v\u00e0  \u0111\u1eb9p kh\u00f4ng s\u01b0\u1edbc x\u00e1t g\u00ec c\u1ea3.H\u00f4m \u0111\u1eb7t h\u00e0ng c\u00f3 qu\u00e0 t\u1eb7ng k\u00e8m theo l\u00e0 b\u00ecnh nhi\u1ec7t nh\u01b0ng l\u1ea1i kh\u00f4ng c\u00f3 .\ud83d\ude0c,71159586,4,8,1605711204,Con Chim Non
"446905270 \u0111\u01a1n h\u00e0ng t\u00f4i nh\u1eadn, s\u1ea1c ch\u1ec9 ch\u01b0a \u0111\u1ea7y v\u00e0i gi\u00e2y b\u00e1o \u0111\u00e8n tr\u1eafng, r\u00e1p n\u1eafp \u0111\u00fang kh\u1edbp , \u1ea5n \u0111au c\u1ea3 ng\u00f3n tay , m\u00e1y kh\u00f4ng kh\u1edfi \u0111\u1ed9ng \u0111\u01b0\u1ee3c. h\u00f4m nay nh\u1eadn 1 c\u00e1i n\u1eefa, ch\u01b0a khui th\u00f9ng h\u00e0ng , t\u00ednh d\u00f9ng t\u1eb7ng , v\u1eady c\u00e1i \u0111ang s\u1ea1c m\u00e0 kh\u00f4ng kh\u1edfi \u0111\u1ed9ng \u0111\u01b0\u1ee3c ph\u1ea3i l\u00e0m sao, sao l\u1ea1i h\u01b0 khi sp locknlock ok ch\u00ednh h\u00e0ng m\u00e0 ????",48025253,1,0,1582038403,Thanh Tuy\u1ec1n
